N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6
32 7 3.0 2.0 230955 10 1.77688855459e+01 6.3866e-07 2.30000000000e+01 2.600000e+01 8.5714e-01 7.60299e-01 3.00000e+00 3.3825e+01 2.8571e+00 4.1667e-01 5.0012e-01 4.3750e-01 1.7971e-08 2.0000e+00 exp_highM_vartmax_final 7 0 0 0 0 0 3.2857142857142856 3.2857142857142856 3.142857142857143 3.142857142857143 3.142857142857143 0.14285714285714285 0.14285714285714285 0.14285714285714285 0.14285714285714285 0.14285714285714285 7.49651e-01 0.4489795918367347 0.4489795918367347 0.45374149659863944 0.45374149659863944 0.45374149659863944
32 11 3.0 2.0 189753 16 4.53419999492e+01 9.1964e-07 5.40000000000e+01 6.200000e+01 8.1818e-01 7.82984e-01 3.27273e+00 3.8889e+01 3.0909e+00 7.0833e-01 8.5316e-01 7.5000e-01 1.0141e-08 2.0000e+00 exp_highM_vartmax_final 11 0 0 0 0 0 2.5454545454545454 2.5454545454545454 2.5454545454545454 2.5454545454545454 2.5454545454545454 0.2727272727272727 0.2727272727272727 0.2727272727272727 0.2727272727272727 0.09090909090909091 7.08022e-01 0.6000000000000001 0.6000000000000001 0.6000000000000001 0.6000000000000001 0.6000000000000001
32 35 3.0 2.0 102142 1 4.22590037782e+02 6.0405e-06 4.28000000000e+02 4.670000e+02 9.7143e-01 9.06506e-01 3.71429e+00 3.9109e+01 3.6857e+00 2.6875e+00 2.7350e+00 2.7083e+00 7.1471e-09 2.0000e+00 exp_highM_vartmax_final 34 0 0 0 0 0 1.7941176470588236 1.6176470588235294 1.6176470588235294 1.6176470588235294 1.6176470588235294 0.6 0.6 0.6 0.6 0.14285714285714285 9.38780e-01 0.8063725490196079 0.8480392156862745 0.8480392156862745 0.8480392156862745 0.8480392156862745
32 6 3.0 2.0 245371 17 2.11965006061e+01 1.4136e-06 2.90000000000e+01 3.000000e+01 8.3333e-01 5.51861e-01 4.16667e+00 3.5698e+01 4.0000e+00 5.0000e-01 5.6171e-01 5.2083e-01 3.3345e-08 2.0000e+00 exp_highM_vartmax_final 6 0 0 0 0 0 5.333333333333333 5.333333333333333 5.333333333333333 5.333333333333333 5.333333333333333 0.0 0.0 0.0 0.0 0.0 6.38474e-01 0.2926587301587302 0.2926587301587302 0.2926587301587302 0.2926587301587302 0.2926587301587302
32 11 3.0 2.0 189753 4 4.74540888006e+01 1.9985e-06 6.00000000000e+01 6.200000e+01 8.1818e-01 6.82250e-01 3.81818e+00 4.1837e+01 3.6364e+00 8.3333e-01 9.0054e-01 8.7500e-01 2.1057e-08 2.0000e+00 exp_highM_vartmax_final 11 0 0 0 0 0 3.090909090909091 3.0 3.0 3.0 3.0 0.2727272727272727 0.2727272727272727 0.2727272727272727 0.2727272727272727 0.0 7.61674e-01 0.6325757575757577 0.6356060606060606 0.6356060606060606 0.6356060606060606 0.6356060606060606
32 7 3.0 2.0 230955 11 2.16865263473e+01 7.7131e-07 2.80000000000e+01 3.100000e+01 8.5714e-01 6.10869e-01 3.14286e+00 3.6008e+01 3.0000e+00 4.3750e-01 5.5041e-01 4.5833e-01 1.7783e-08 2.0000e+00 exp_highM_vartmax_final 7 0 0 0 0 0 6.142857142857143 6.142857142857143 6.142857142857143 6.142857142857143 6.142857142857143 0.0 0.0 0.0 0.0 0.0 6.91402e-01 0.25 0.25 0.25 0.25 0.25
32 8 3.0 2.0 218567 4 2.31735329923e+01 1.0841e-06 3.10000000000e+01 3.600000e+01 8.7500e-01 6.81480e-01 3.62500e+00 3.5613e+01 3.2500e+00 5.4167e-01 6.1903e-01 6.0417e-01 2.3391e-08 2.0000e+00 exp_highM_vartmax_final 8 0 0 0 0 0 4.75 4.25 4.25 4.25 4.25 0.125 0.125 0.125 0.125 0.0 7.78308e-01 0.5083333333333333 0.5113636363636364 0.5113636363636364 0.5113636363636364 0.5113636363636364
32 19 3.0 2.0 144366 17 1.15379905072e+02 1.4901e-06 1.26000000000e+02 1.480000e+02 8.4211e-01 8.23097e-01 3.47368e+00 3.5668e+01 3.2632e+00 1.2917e+00 1.3619e+00 1.3750e+00 6.4573e-09 2.0000e+00 exp_highM_vartmax_final 19 0 0 0 0 0 2.0 1.736842105263158 1.736842105263158 1.736842105263158 1.736842105263158 0.47368421052631576 0.47368421052631576 0.47368421052631576 0.47368421052631576 0.2631578947368421 8.49202e-01 0.7729323308270677 0.8105263157894737 0.8105263157894737 0.8105263157894737 0.8105263157894737
32 19 3.0 2.0 144366 7 1.05595682926e+02 2.8411e-06 1.13000000000e+02 1.350000e+02 9.4737e-01 7.83622e-01 3.31579e+00 3.7208e+01 3.2105e+00 1.2708e+00 1.3583e+00 1.3125e+00 1.3453e-08 2.0000e+00 exp_highM_vartmax_final 19 0 0 0 0 0 2.210526315789474 2.1578947368421053 2.1578947368421053 2.1578947368421053 2.1578947368421053 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.21052631578947367 0.05263157894736842 8.54810e-01 0.6666666666666667 0.6754385964912281 0.6754385964912281 0.6754385964912281 0.6754385964912281
32 7 3.0 2.0 230955 9 2.33463204606e+01 1.3434e-06 3.50000000000e+01 3.800000e+01 8.5714e-01 6.07976e-01 3.85714e+00 3.7836e+01 3.7143e+00 5.4167e-01 6.0923e-01 5.6250e-01 2.8772e-08 2.0000e+00 exp_highM_vartmax_final 7 0 0 0 0 0 4.714285714285714 4.428571428571429 4.428571428571429 4.428571428571429 4.428571428571429 0.0 0.0 0.0 0.0 0.0 7.03148e-01 0.4265306122448979 0.42176870748299317 0.42176870748299317 0.42176870748299317 0.42176870748299317
