N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6 final_t init_energy
74 8 6.972972972972973 2.0 174109 6 1.67113543102e+01 2.3250e-06 3.40000000000e+01 3.600000e+01 1.0000e+00 4.01102e-01 4.25000e+00 7.6339e+01 4.2500e+00 1.3178e-01 1.6938e-01 1.3178e-01 6.9563e-08 2.0000e+00 exp_EMA_gamma2 8 0 0 0 0 0 495.125 235.5 194.625 194.625 187.625 0.0 0.0 0.0 0.0 0.0 4.68907e-01 0.07303524196079612 0.11626866463215148 0.11653296087672008 0.11653296087672008 0.11657709532917702 174108 3.60000000000e+01
74 21 6.972972972972973 2.0 153060 15 7.89538369425e+01 6.3078e-06 1.05000000000e+02 1.120000e+02 9.0476e-01 6.30273e-01 3.85714e+00 9.4728e+01 3.6190e+00 2.9457e-01 3.7616e-01 3.1395e-01 3.9946e-08 2.0000e+00 exp_EMA_gamma2 20 0 0 0 0 0 60.8 47.7 47.7 47.7 39.15 0.14285714285714285 0.09523809523809523 0.09523809523809523 0.09523809523809523 0.047619047619047616 6.20324e-01 0.15746904514211318 0.19129489241329478 0.19129489241329478 0.19129489241329478 0.20831503212600663 153059 1.12000000000e+02
74 2 6.972972972972973 2.0 190010 10 2.37178771892e+00 7.2816e-07 8.00000000000e+00 8.000000e+00 1.0000e+00 2.05655e-01 4.00000e+00 5.8734e+01 4.0000e+00 3.1008e-02 4.6860e-02 3.1008e-02 1.5351e-07 2.0000e+00 exp_EMA_gamma2 2 0 0 0 0 0 2170.5 1274.0 1130.0 1130.0 1008.5 0.0 0.0 0.0 0.0 0.0 3.18403e-01 0.019165654930527454 0.021709042331866064 0.02921371354487065 0.02921371354487065 0.029242180757670447 190009 8.00000000000e+00
74 5 6.972972972972973 2.0 181072 1 1.77961818712e+01 2.5198e-06 3.00000000000e+01 3.200000e+01 1.0000e+00 4.30134e-01 4.80000e+00 6.7784e+01 4.8000e+00 9.3023e-02 1.2852e-01 9.3023e-02 7.0795e-08 2.0000e+00 exp_EMA_gamma2 5 0 0 0 0 0 1108.8 617.6 615.6 612.6 612.6 0.0 0.0 0.0 0.0 0.0 4.91476e-01 0.13464232284061645 0.13522520849526815 0.1352324653893175 0.1352438896086625 0.1352438896086625 181071 3.20000000000e+01
74 30 6.972972972972973 2.0 142783 6 2.04089653068e+02 1.5575e-05 2.51000000000e+02 2.940000e+02 8.0000e-01 5.46304e-01 5.03333e+00 1.1227e+02 4.7333e+00 5.5039e-01 6.5298e-01 5.8527e-01 3.8158e-08 2.0000e+00 exp_EMA_gamma2 30 0 0 0 0 0 71.86666666666666 44.9 44.9 44.9 44.9 0.06666666666666667 0.06666666666666667 0.06666666666666667 0.06666666666666667 0.0 5.62152e-01 0.19679224591980088 0.23017953196072563 0.23017953196072563 0.23017953196072563 0.23017953196072563 142782 2.94000000000e+02
74 4 6.972972972972973 2.0 183752 18 7.59742294739e+00 1.5813e-06 1.70000000000e+01 1.700000e+01 1.0000e+00 3.43194e-01 4.25000e+00 6.8062e+01 4.2500e+00 6.5891e-02 9.4463e-02 6.5891e-02 1.0407e-07 2.0000e+00 exp_EMA_gamma2 4 0 0 0 0 0 1312.5 887.0 787.0 787.0 621.75 0.0 0.0 0.0 0.0 0.0 3.57250e-01 0.014104117467901002 0.014283379674056577 0.014351898350125023 0.014351898350125023 0.0144298449926412 183751 1.70000000000e+01
74 21 6.972972972972973 2.0 153060 6 1.19059849184e+02 1.0741e-05 1.56000000000e+02 1.800000e+02 8.5714e-01 4.84790e-01 4.95238e+00 1.0241e+02 4.7619e+00 3.8760e-01 4.6718e-01 4.0310e-01 4.5107e-08 2.0000e+00 exp_EMA_gamma2 21 0 0 0 0 0 192.1904761904762 124.80952380952381 124.71428571428571 124.52380952380952 95.0 0.047619047619047616 0.047619047619047616 0.047619047619047616 0.047619047619047616 0.0 5.14108e-01 0.16044475315602316 0.16132698645730453 0.16132698645730453 0.1633111134414315 0.16462827896787488 153059 1.80000000000e+02
74 42 6.972972972972973 2.0 131947 18 2.92059432265e+02 3.1533e-05 3.94000000000e+02 4.600000e+02 8.5714e-01 5.41475e-01 4.71429e+00 1.2230e+02 4.5714e+00 7.4419e-01 8.7934e-01 7.6744e-01 5.3984e-08 2.0000e+00 exp_EMA_gamma2 42 0 0 0 0 0 49.30952380952381 43.285714285714285 41.333333333333336 41.333333333333336 41.333333333333336 0.07142857142857142 0.07142857142857142 0.07142857142857142 0.07142857142857142 0.0 6.07830e-01 0.3092347980435878 0.310524304014264 0.31303962008221164 0.31303962008221164 0.31303962008221164 131946 4.60000000000e+02
74 2 6.972972972972973 2.0 190010 5 2.20423715629e+00 9.0740e-07 8.00000000000e+00 8.000000e+00 1.0000e+00 2.45411e-01 4.00000e+00 5.9287e+01 4.0000e+00 3.1008e-02 4.5624e-02 3.1008e-02 2.0583e-07 2.0000e+00 exp_EMA_gamma2 2 0 0 0 0 0 3024.5 1373.0 1230.5 1230.5 950.5 0.0 0.0 0.0 0.0 0.0 3.18175e-01 0.027943587759538677 0.028144346692733788 0.038870035193564606 0.038870035193564606 0.038991199478487615 190009 8.00000000000e+00
74 226 6.972972972972973 2.0 70867 17 6.76882102237e+03 6.2297e-04 7.26200000000e+03 9.330000e+03 8.2301e-01 7.47574e-01 4.76106e+00 1.9056e+02 4.4956e+00 3.9380e+00 4.3605e+00 4.1705e+00 4.6018e-08 2.0000e+00 exp_EMA_gamma2 224 0 0 1.1295659745663624e-08 8.284550015651058e-06 0.0012149106142998333 15.696428571428571 13.4375 12.96875 12.9375 11.839285714285714 0.24336283185840707 0.23008849557522124 0.23008849557522124 0.23008849557522124 0.022123893805309734 7.16993e-01 0.3981020809240651 0.41630300200809284 0.4183125242222824 0.4206934766032348 0.4327361115941645 70866 9.33000000000e+03
74 8 6.972972972972973 2.0 174109 4 2.81940214104e+01 3.6163e-06 4.80000000000e+01 6.100000e+01 8.7500e-01 3.69709e-01 5.25000e+00 7.4143e+01 5.1250e+00 1.5891e-01 2.1928e-01 1.6279e-01 6.4132e-08 2.0000e+00 exp_EMA_gamma2 8 0 0 0 0 0 972.875 415.25 412.0 412.0 411.5 0.0 0.0 0.0 0.0 0.0 3.88026e-01 0.03065585369111346 0.03198754697611686 0.032934792677078675 0.032934792677078675 0.03318219495317962 174108 6.10000000000e+01
74 58 6.972972972972973 2.0 120698 0 5.81883814315e+02 2.7028e-05 6.68000000000e+02 9.370000e+02 7.2414e-01 6.83749e-01 4.96552e+00 1.3683e+02 4.5345e+00 1.0194e+00 1.1959e+00 1.1163e+00 2.3224e-08 2.0000e+00 exp_EMA_gamma2 58 0 0 0 1.2153196593620713e-05 1.2153196593620713e-05 23.310344827586206 19.0 18.517241379310345 18.517241379310345 18.517241379310345 0.1896551724137931 0.1896551724137931 0.1896551724137931 0.1896551724137931 0.0 5.78396e-01 0.32134838270197 0.33223624236555266 0.3360644065385444 0.3360644065385444 0.3360644065385444 120697 9.37000000000e+02
74 11 6.972972972972973 2.0 168233 12 3.63518753829e+01 3.6749e-06 5.90000000000e+01 7.500000e+01 1.0000e+00 4.09712e-01 4.27273e+00 7.7435e+01 4.2727e+00 1.8217e-01 2.4403e-01 1.8217e-01 5.0546e-08 2.0000e+00 exp_EMA_gamma2 11 0 0 0 0 0 239.45454545454547 131.63636363636363 126.45454545454545 126.45454545454545 126.45454545454545 0.0 0.0 0.0 0.0 0.0 4.46804e-01 0.048146605456976126 0.06207282028747058 0.06217583990698479 0.06217583990698479 0.06217583990698479 168232 7.50000000000e+01
