N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6 final_t init_energy
32 6 3.0 4.0 245371 14 2.85619573956e+01 1.6601e-07 2.94800000000e+01 3.128000e+01 1.0000e+00 7.13185e-01 4.33333e+00 3.4775e+01 4.3333e+00 5.4167e-01 5.5563e-01 5.4167e-01 4.5947e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 6 0 0 0 0 0 3.0 2.6666666666666665 2.6666666666666665 2.6666666666666665 2.6666666666666665 0.0 0.0 0.0 0.0 0.0 9.44165e-01 0.7222222222222223 0.7777777777777777 0.7777777777777777 0.7777777777777777 0.7777777777777777 245370 4.47800000000e+01
32 7 3.0 4.0 230955 3 2.83330852228e+01 1.7830e-07 3.03800000000e+01 3.038000e+01 1.0000e+00 7.87020e-01 3.71429e+00 3.3355e+01 3.7143e+00 5.4167e-01 5.5291e-01 5.4167e-01 5.0217e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 7 0 0 0 0 0 1.7142857142857142 1.7142857142857142 1.7142857142857142 1.7142857142857142 1.7142857142857142 0.42857142857142855 0.42857142857142855 0.42857142857142855 0.42857142857142855 0.14285714285714285 9.22871e-01 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 230954 3.03800000000e+01
32 5 3.0 4.0 262452 1 2.25715106499e+01 8.1165e-08 2.35600000000e+01 2.356000e+01 1.0000e+00 7.86858e-01 4.40000e+00 3.4390e+01 4.4000e+00 4.5833e-01 4.5833e-01 4.5833e-01 3.2652e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 5 0 0 0 0 0 1.8 1.6 1.6 1.6 1.6 0.4 0.4 0.4 0.4 0.0 1.00000e+00 1.0 1.0 1.0 1.0 1.0 262451 2.71600000000e+01
32 14 3.0 4.0 168967 1 7.08093890596e+01 3.2802e-06 8.17200000000e+01 1.478000e+02 7.8571e-01 7.53042e-01 3.85714e+00 3.5478e+01 3.5714e+00 1.0417e+00 1.1687e+00 1.1250e+00 2.5298e-08 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 13 0 0 0 0 0 2.230769230769231 2.230769230769231 2.230769230769231 2.230769230769231 2.1538461538461537 0.14285714285714285 0.14285714285714285 0.14285714285714285 0.14285714285714285 0.07142857142857142 7.17302e-01 0.5512820512820512 0.5512820512820512 0.5512820512820512 0.5512820512820512 0.5641025641025641 168966 2.41400000000e+02
32 14 3.0 4.0 168967 5 5.37533567578e+01 1.7455e-06 5.83100000000e+01 1.773600e+02 8.5714e-01 7.50793e-01 3.35714e+00 3.6655e+01 3.0000e+00 8.7500e-01 9.7924e-01 9.7917e-01 2.1615e-08 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 14 0 0 0 0 0 2.142857142857143 2.0 2.0 2.0 2.0 0.35714285714285715 0.35714285714285715 0.35714285714285715 0.35714285714285715 0.07142857142857142 8.03831e-01 0.7047619047619048 0.7440476190476192 0.7440476190476192 0.7440476190476192 0.7440476190476192 168966 9.72600000000e+01
32 11 3.0 4.0 189753 4 4.58437094258e+01 6.9417e-07 5.58600000000e+01 5.560000e+01 8.1818e-01 7.63581e-01 3.81818e+00 3.7010e+01 3.6364e+00 8.3333e-01 8.7078e-01 8.7500e-01 1.1191e-08 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 11 0 0 0 0 0 2.090909090909091 2.0 2.0 2.0 2.0 0.45454545454545453 0.45454545454545453 0.45454545454545453 0.45454545454545453 0.09090909090909091 8.37872e-01 0.7954545454545454 0.8030303030303031 0.8030303030303031 0.8030303030303031 0.8030303030303031 189752 6.19000000000e+01
32 11 3.0 4.0 189753 16 4.52253725945e+01 1.9063e-07 4.73700000000e+01 8.182000e+01 7.2727e-01 8.77033e-01 3.54545e+00 3.5713e+01 3.0909e+00 7.0833e-01 8.3521e-01 8.1250e-01 2.8986e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 11 0 0 0 0 0 1.7272727272727273 1.7272727272727273 1.7272727272727273 1.7272727272727273 1.7272727272727273 0.5454545454545454 0.5454545454545454 0.5454545454545454 0.5454545454545454 0.09090909090909091 7.11054e-01 0.7045454545454546 0.7045454545454546 0.7045454545454546 0.7045454545454546 0.7045454545454546 189752 8.18200000000e+01
32 19 3.0 4.0 144366 7 8.63867418009e+01 3.7463e-06 1.09120000000e+02 1.528300e+02 8.9474e-01 7.74517e-01 3.36842e+00 3.7094e+01 3.2105e+00 1.2708e+00 1.3978e+00 1.3333e+00 2.2905e-08 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 19 0 0 0 0 0 2.3157894736842106 2.210526315789474 2.1578947368421053 2.1578947368421053 2.1578947368421053 0.3157894736842105 0.3157894736842105 0.3157894736842105 0.3157894736842105 0.0 8.08792e-01 0.6798245614035089 0.7149122807017544 0.7149122807017544 0.7149122807017544 0.7149122807017544 144365 1.86130000000e+02
32 19 3.0 4.0 144366 17 9.94570167911e+01 1.0682e-05 1.33040000000e+02 2.393600e+02 7.3684e-01 7.88353e-01 3.57895e+00 3.7630e+01 3.2632e+00 1.2917e+00 1.4139e+00 1.4167e+00 4.7301e-08 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 19 0 0 0 0 0 2.0 2.0 2.0 2.0 2.0 0.3684210526315789 0.3684210526315789 0.3684210526315789 0.3684210526315789 0.0 7.62986e-01 0.7412280701754386 0.7412280701754386 0.7412280701754386 0.7412280701754386 0.7412280701754386 144365 1.88960000000e+02
32 19 3.0 4.0 144366 14 1.28703495366e+02 1.5333e-05 1.65710000000e+02 2.495300e+02 7.8947e-01 7.21272e-01 4.05263e+00 4.2053e+01 3.7368e+00 1.4792e+00 1.5998e+00 1.6042e+00 4.5587e-08 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 19 0 0 0 0 0 2.8947368421052633 2.526315789473684 2.526315789473684 2.526315789473684 2.526315789473684 0.2631578947368421 0.2631578947368421 0.2631578947368421 0.2631578947368421 0.0 7.74698e-01 0.6030701754385964 0.6491228070175438 0.6491228070175438 0.6491228070175438 0.6491228070175438 144365 3.89930000000e+02
